date,day_of_week,is_weekend,is_holiday,season,temperature,rain,local_event,past_demand_1day,past_demand_7day,target_demand
2000-05-01,Monday,0,1,Spring,20.2,0,0,113,114,118
2000-05-02,Tuesday,0,0,Spring,20.4,0,1,118,92,119
2000-05-03,Wednesday,0,0,Spring,23.9,0,0,119,100,109
2000-05-04,Thursday,0,0,Spring,22.5,0,1,109,98,106
2000-05-05,Friday,0,0,Spring,21.2,1,0,106,112,99
2000-05-06,Saturday,1,0,Spring,24.6,1,0,99,120,120
2000-05-07,Sunday,1,0,Spring,16.8,0,0,120,113,114
2000-05-08,Monday,0,0,Spring,18.5,0,0,114,118,101
2000-05-09,Tuesday,0,0,Spring,17.8,0,0,101,119,98
2000-05-10,Wednesday,0,0,Spring,19.5,0,0,98,109,100
2000-05-11,Thursday,0,0,Spring,16.7,1,0,100,106,90
2000-05-12,Friday,0,0,Spring,22.8,0,0,90,99,101
2000-05-13,Saturday,1,0,Spring,20.3,0,0,101,120,123
2000-05-14,Sunday,1,0,Spring,16.7,0,0,123,114,117
2000-05-15,Monday,0,0,Spring,18.2,1,0,117,101,89
2000-05-16,Tuesday,0,0,Spring,22.2,1,0,89,98,97
2000-05-17,Wednesday,0,0,Spring,23.9,1,0,97,100,105
2000-05-18,Thursday,0,0,Spring,27.5,0,1,105,90,120
2000-05-19,Friday,0,0,Spring,30.3,0,0,120,101,119
2000-05-20,Saturday,1,0,Spring,22.9,0,0,119,123,141
2000-05-21,Sunday,1,0,Spring,18.8,1,1,141,117,137
2000-05-22,Monday,0,0,Spring,15.4,0,1,137,89,138
2000-05-23,Tuesday,0,0,Spring,22.7,1,0,138,97,122
2000-05-24,Wednesday,0,0,Spring,19.6,0,0,122,105,119
2000-05-25,Thursday,0,0,Spring,20.8,0,0,119,120,112
2000-05-26,Friday,0,0,Spring,20.3,0,0,112,119,109
2000-05-27,Saturday,1,0,Spring,21.8,0,0,109,141,125
2000-05-28,Sunday,1,0,Spring,25.5,1,1,125,137,132
2000-05-29,Monday,0,0,Spring,22.8,1,0,132,138,117
2000-05-30,Tuesday,0,0,Spring,21.9,0,0,117,122,112
2000-05-31,Wednesday,0,0,Spring,19.3,0,0,112,119,109
2000-06-01,Thursday,0,0,Summer,17.5,1,1,109,112,110
2000-06-02,Friday,0,0,Summer,21.1,0,0,110,109,119
2000-06-03,Saturday,1,0,Summer,22.4,1,0,119,125,119
2000-06-04,Sunday,1,0,Summer,28.0,0,0,119,132,128
2000-06-05,Monday,0,0,Summer,23.1,0,0,128,117,110
2000-06-06,Tuesday,0,0,Summer,25.7,0,0,110,112,112
2000-06-07,Wednesday,0,0,Summer,21.3,0,0,112,109,112
2000-06-08,Thursday,0,0,Summer,19.3,0,0,112,110,105
2000-06-09,Friday,0,0,Summer,19.9,1,0,105,119,112
2000-06-10,Saturday,1,0,Summer,20.7,0,0,112,119,121
2000-06-11,Sunday,1,0,Summer,29.3,0,0,121,128,125
2000-06-12,Monday,0,0,Summer,20.5,0,0,125,110,111
2000-06-13,Tuesday,0,0,Summer,25.5,0,0,111,112,115
2000-06-14,Wednesday,0,0,Summer,20.2,0,1,115,112,120
2000-06-15,Thursday,0,0,Summer,25.8,0,0,120,105,124
2000-06-16,Friday,0,0,Summer,24.1,0,0,124,112,115
2000-06-17,Saturday,1,0,Summer,22.5,0,0,115,121,123
2000-06-18,Sunday,1,0,Summer,22.9,0,0,123,125,122
2000-06-19,Monday,0,0,Summer,21.0,0,0,122,111,114
2000-06-20,Tuesday,0,0,Summer,24.3,0,0,114,115,115
2000-06-21,Wednesday,0,0,Summer,21.6,1,1,115,120,111
2000-06-22,Thursday,0,0,Summer,19.3,1,0,111,124,116
2000-06-23,Friday,0,0,Summer,19.1,1,1,116,115,137
2000-06-24,Saturday,1,0,Summer,23.5,1,0,137,123,133
2000-06-25,Sunday,1,0,Summer,27.7,0,0,133,122,126
2000-06-26,Monday,0,0,Summer,23.4,0,0,126,114,115
2000-06-27,Tuesday,0,0,Summer,22.6,0,0,115,115,111
2000-06-28,Wednesday,0,0,Summer,23.7,0,0,111,111,107
2000-06-29,Thursday,0,0,Summer,26.8,1,0,107,116,116
2000-06-30,Friday,0,0,Summer,23.5,0,0,116,137,113
2000-07-01,Saturday,1,0,Summer,21.6,0,0,113,133,128
2000-07-02,Sunday,1,0,Summer,26.1,0,0,128,126,139
2000-07-03,Monday,0,0,Summer,24.0,1,0,139,115,129
2000-07-04,Tuesday,0,0,Summer,27.3,0,1,129,111,135
2000-07-05,Wednesday,0,0,Summer,23.2,0,0,135,107,116
2000-07-06,Thursday,0,0,Summer,18.9,0,0,116,116,125
2000-07-07,Friday,0,0,Summer,18.4,0,0,125,113,124
2000-07-08,Saturday,1,0,Summer,27.4,0,0,124,128,142
2000-07-09,Sunday,1,0,Summer,27.6,0,1,142,139,156
2000-07-10,Monday,0,0,Summer,21.8,0,0,156,129,136
2000-07-11,Tuesday,0,0,Summer,21.2,0,0,136,135,126
2000-07-12,Wednesday,0,0,Summer,26.6,0,0,126,116,137
2000-07-13,Thursday,0,0,Summer,18.9,1,0,137,125,112
2000-07-14,Friday,0,0,Summer,19.4,0,0,112,124,117
2000-07-15,Saturday,1,0,Summer,24.0,0,0,117,142,122
2000-07-16,Sunday,1,0,Summer,20.8,0,0,122,156,134
2000-07-17,Monday,0,0,Summer,21.9,1,0,134,136,125
2000-07-18,Tuesday,0,0,Summer,21.3,0,1,125,126,123
2000-07-19,Wednesday,0,0,Summer,22.7,0,0,123,137,120
2000-07-20,Thursday,0,0,Summer,25.9,1,0,120,112,106
2000-07-21,Friday,0,0,Summer,21.8,0,0,106,117,118
2000-07-22,Saturday,1,0,Summer,23.4,0,0,118,122,123
2000-07-23,Sunday,1,0,Summer,15.2,0,0,123,134,128
2000-07-24,Monday,0,0,Summer,21.1,0,0,128,125,116
2000-07-25,Tuesday,0,0,Summer,18.6,1,0,116,123,112
2000-07-26,Wednesday,0,0,Summer,17.4,0,0,112,120,117
2000-07-27,Thursday,0,0,Summer,18.3,1,0,117,106,113
2000-07-28,Friday,0,0,Summer,19.9,1,0,113,118,116
2000-07-29,Saturday,1,0,Summer,23.5,0,0,116,123,125
2000-07-30,Sunday,1,0,Summer,16.7,0,0,125,128,128
2000-07-31,Monday,0,0,Summer,20.6,0,0,128,116,113
2000-08-01,Tuesday,0,0,Summer,19.0,1,1,113,112,113
2000-08-02,Wednesday,0,0,Summer,19.3,0,0,113,117,115
2000-08-03,Thursday,0,0,Summer,23.2,0,0,115,113,127
2000-08-04,Friday,0,0,Summer,21.7,1,0,127,116,117
2000-08-05,Saturday,1,0,Summer,24.0,0,0,117,125,121
2000-08-06,Sunday,1,0,Summer,19.4,1,0,121,128,123
2000-08-07,Monday,0,0,Summer,17.6,0,0,123,113,121
2000-08-08,Tuesday,0,0,Summer,18.9,0,0,121,113,119
2000-08-09,Wednesday,0,0,Summer,20.2,0,0,119,115,115
2000-08-10,Thursday,0,0,Summer,19.8,0,0,115,127,127
2000-08-11,Friday,0,0,Summer,15.9,0,0,127,117,109
2000-08-12,Saturday,1,0,Summer,19.3,0,0,109,121,127
2000-08-13,Sunday,1,0,Summer,19.6,0,0,127,123,124
2000-08-14,Monday,0,0,Summer,26.3,1,0,124,121,120
2000-08-15,Tuesday,0,0,Summer,24.2,0,0,120,119,124
2000-08-16,Wednesday,0,0,Summer,15.9,0,0,124,115,116
2000-08-17,Thursday,0,0,Summer,17.5,0,0,116,127,118
2000-08-18,Friday,0,0,Summer,13.8,0,0,118,109,112
2000-08-19,Saturday,1,0,Summer,16.3,0,0,112,127,134
2000-08-20,Sunday,1,0,Summer,18.8,0,0,134,124,131
2000-08-21,Monday,0,0,Summer,21.3,0,0,131,120,121
2000-08-22,Tuesday,0,0,Summer,15.4,0,0,121,124,126
2000-08-23,Wednesday,0,0,Summer,15.5,0,0,126,116,113
2000-08-24,Thursday,0,0,Summer,10.8,1,0,113,118,106
2000-08-25,Friday,0,0,Summer,16.6,0,0,106,112,118
2000-08-26,Saturday,1,0,Summer,13.8,1,0,118,134,135
2000-08-27,Sunday,1,0,Summer,15.2,0,0,135,131,130
2000-08-28,Monday,0,0,Summer,14.0,1,0,130,121,116
2000-08-29,Tuesday,0,0,Summer,16.2,1,0,116,126,99
2000-08-30,Wednesday,0,0,Summer,11.0,0,0,99,113,110
2000-08-31,Thursday,0,0,Summer,11.7,0,1,110,106,107
2000-09-01,Friday,0,0,Autumn,22.4,1,0,107,118,106
2000-09-02,Saturday,1,0,Autumn,12.0,0,0,106,135,118
2000-09-03,Sunday,1,0,Autumn,12.4,1,0,118,130,109
2000-09-04,Monday,0,0,Autumn,21.0,0,0,109,116,92
2000-09-05,Tuesday,0,0,Autumn,24.0,0,0,92,99,87
2000-09-06,Wednesday,0,0,Autumn,11.6,1,0,87,110,89
2000-09-07,Thursday,0,0,Autumn,13.9,0,0,89,107,106
2000-09-08,Friday,0,0,Autumn,15.8,0,0,106,106,116
2000-09-09,Saturday,1,0,Autumn,19.8,0,0,116,118,122
2000-09-10,Sunday,1,0,Autumn,11.5,1,0,122,109,111
2000-09-11,Monday,0,0,Autumn,13.6,0,0,111,92,102
2000-09-12,Tuesday,0,0,Autumn,16.5,0,0,102,87,103
2000-09-13,Wednesday,0,0,Autumn,15.3,1,0,103,89,92
2000-09-14,Thursday,0,0,Autumn,12.7,1,1,92,106,101
2000-09-15,Friday,0,0,Autumn,13.2,0,0,101,116,107
2000-09-16,Saturday,1,0,Autumn,9.3,1,0,107,122,116
2000-09-17,Sunday,1,0,Autumn,12.6,0,0,116,111,102
2000-09-18,Monday,0,0,Autumn,12.3,1,0,102,102,91
2000-09-19,Tuesday,0,0,Autumn,13.6,0,0,91,103,94
2000-09-20,Wednesday,0,0,Autumn,11.1,0,0,94,92,77
2000-09-21,Thursday,0,0,Autumn,14.0,1,0,77,101,91
2000-09-22,Friday,0,0,Autumn,15.5,0,0,91,107,107
2000-09-23,Saturday,1,0,Autumn,12.7,0,0,107,116,98
2000-09-24,Sunday,1,0,Autumn,13.1,0,0,98,102,98
2000-09-25,Monday,0,0,Autumn,12.1,0,0,98,91,87
2000-09-26,Tuesday,0,0,Autumn,11.7,1,0,87,94,77
2000-09-27,Wednesday,0,0,Autumn,9.4,0,0,77,77,72
2000-09-28,Thursday,0,0,Autumn,12.3,1,0,72,91,75
2000-09-29,Friday,0,0,Autumn,10.9,0,0,75,107,95
2000-09-30,Saturday,1,0,Autumn,17.3,1,0,95,98,109
2000-10-01,Sunday,1,0,Autumn,15.6,1,0,109,98,106
2000-10-02,Monday,0,0,Autumn,11.9,0,0,106,87,86
2000-10-03,Tuesday,0,0,Autumn,8.3,0,0,86,77,85
2000-10-04,Wednesday,0,0,Autumn,7.0,1,0,85,72,79
2000-10-05,Thursday,0,0,Autumn,13.8,0,0,79,75,61
2000-10-06,Friday,0,0,Autumn,10.8,0,0,61,95,89
2000-10-07,Saturday,1,0,Autumn,11.3,1,0,89,109,99
2000-10-08,Sunday,1,0,Autumn,4.5,1,0,99,106,97
2000-10-09,Monday,0,0,Autumn,12.3,1,0,97,86,72
2000-10-10,Tuesday,0,0,Autumn,10.8,1,0,72,85,85
2000-10-11,Wednesday,0,0,Autumn,5.9,0,0,85,79,82
2000-10-12,Thursday,0,0,Autumn,7.7,1,1,82,61,86
2000-10-13,Friday,0,0,Autumn,9.7,0,0,86,89,80
2000-10-14,Saturday,1,0,Autumn,8.9,1,0,80,99,94
2000-10-15,Sunday,1,0,Autumn,7.7,1,0,94,97,96
2000-10-16,Monday,0,0,Autumn,8.2,0,0,96,72,81
2000-10-17,Tuesday,0,0,Autumn,7.6,1,0,81,85,67
2000-10-18,Wednesday,0,0,Autumn,8.6,0,0,67,82,73
2000-10-19,Thursday,0,0,Autumn,12.4,0,0,73,86,75
2000-10-20,Friday,0,0,Autumn,0.2,0,0,75,80,73
2000-10-21,Saturday,1,0,Autumn,7.0,0,1,73,94,104
2000-10-22,Sunday,1,0,Autumn,8.1,0,0,104,96,100
2000-10-23,Monday,0,0,Autumn,8.3,1,0,100,81,82
2000-10-24,Tuesday,0,0,Autumn,6.2,0,0,82,67,66
2000-10-25,Wednesday,0,0,Autumn,1.9,1,0,66,73,64
2000-10-26,Thursday,0,0,Autumn,8.0,0,0,64,75,71
2000-10-27,Friday,0,0,Autumn,12.0,1,1,71,73,77
2000-10-28,Saturday,1,0,Autumn,2.1,1,1,77,104,102
2000-10-29,Sunday,1,0,Autumn,9.2,0,0,102,100,108
2000-10-30,Monday,0,0,Autumn,5.5,0,0,108,82,83
2000-10-31,Tuesday,0,0,Autumn,6.2,1,0,83,66,74
2000-11-01,Wednesday,0,0,Autumn,3.1,0,0,74,64,57
2000-11-02,Thursday,0,0,Autumn,5.1,0,0,57,71,69
2000-11-03,Friday,0,0,Autumn,9.9,0,0,69,77,84
2000-11-04,Saturday,1,0,Autumn,7.6,0,0,84,102,87
2000-11-05,Sunday,1,0,Autumn,10.9,1,0,87,108,93
2000-11-06,Monday,0,0,Autumn,9.1,1,0,93,83,82
2000-11-07,Tuesday,0,0,Autumn,6.8,1,0,82,74,93
2000-11-08,Wednesday,0,0,Autumn,10.6,0,0,93,57,97
2000-11-09,Thursday,0,0,Autumn,6.6,1,0,97,69,84
2000-11-10,Friday,0,0,Autumn,7.6,1,0,84,84,79
2000-11-11,Saturday,1,0,Autumn,4.2,1,0,79,87,86
2000-11-12,Sunday,1,0,Autumn,5.2,0,0,86,93,97
2000-11-13,Monday,0,0,Autumn,2.8,0,0,97,82,71
2000-11-14,Tuesday,0,0,Autumn,7.7,1,0,71,93,59
2000-11-15,Wednesday,0,0,Autumn,1.1,1,0,59,97,60
2000-11-16,Thursday,0,0,Autumn,6.9,0,0,60,84,78
2000-11-17,Friday,0,0,Autumn,3.9,0,0,78,79,87
2000-11-18,Saturday,1,0,Autumn,7.9,0,0,87,86,95
2000-11-19,Sunday,1,0,Autumn,6.5,1,0,95,97,100
2000-11-20,Monday,0,0,Autumn,9.7,1,0,100,71,79
2000-11-21,Tuesday,0,0,Autumn,6.3,1,0,79,59,66
2000-11-22,Wednesday,0,0,Autumn,-0.7,1,0,66,60,63
2000-11-23,Thursday,0,0,Autumn,3.8,1,0,63,78,80
2000-11-24,Friday,0,0,Autumn,0.4,0,0,80,87,85
2000-11-25,Saturday,1,0,Autumn,2.3,0,0,85,95,91
2000-11-26,Sunday,1,0,Autumn,8.3,1,0,91,100,95
2000-11-27,Monday,0,0,Autumn,5.6,0,0,95,79,92
2000-11-28,Tuesday,0,0,Autumn,1.5,0,0,92,66,74
2000-11-29,Wednesday,0,0,Autumn,0.5,0,0,74,63,65
2000-11-30,Thursday,0,0,Autumn,3.6,1,0,65,80,66
2000-12-01,Friday,0,0,Winter,-0.2,1,1,66,85,84
2000-12-02,Saturday,1,0,Winter,1.4,0,0,84,91,82
2000-12-03,Sunday,1,0,Winter,4.3,1,0,82,95,87
2000-12-04,Monday,0,0,Winter,6.8,0,1,87,92,78
2000-12-05,Tuesday,0,0,Winter,5.1,0,0,78,74,71
2000-12-06,Wednesday,0,0,Winter,-3.6,0,0,71,65,64
2000-12-07,Thursday,0,0,Winter,4.1,0,0,64,66,79
2000-12-08,Friday,0,0,Winter,3.4,0,0,79,84,88
2000-12-09,Saturday,1,0,Winter,4.4,1,0,88,82,83
2000-12-10,Sunday,1,0,Winter,8.0,1,0,83,87,79
2000-12-11,Monday,0,0,Winter,-3.1,1,0,79,78,61
2000-12-12,Tuesday,0,0,Winter,1.3,1,0,61,71,51
2000-12-13,Wednesday,0,0,Winter,4.8,1,0,51,64,66
2000-12-14,Thursday,0,0,Winter,-1.7,0,0,66,79,63
2000-12-15,Friday,0,0,Winter,7.5,0,0,63,88,89
2000-12-16,Saturday,1,0,Winter,4.1,0,0,89,83,90
2000-12-17,Sunday,1,0,Winter,5.5,1,0,90,79,82
2000-12-18,Monday,0,0,Winter,1.3,0,0,82,61,68
2000-12-19,Tuesday,0,0,Winter,5.4,1,0,68,51,67
2000-12-20,Wednesday,0,0,Winter,6.2,1,0,67,66,57
2000-12-21,Thursday,0,0,Winter,3.7,1,0,57,63,63
2000-12-22,Friday,0,0,Winter,3.7,0,0,63,89,75
2000-12-23,Saturday,1,0,Winter,3.8,0,0,75,90,87
2000-12-24,Sunday,1,1,Winter,0.4,0,0,87,82,88
2000-12-25,Monday,0,1,Winter,2.6,1,0,88,68,73
2000-12-26,Tuesday,0,1,Winter,2.6,1,0,73,67,73
2000-12-27,Wednesday,0,0,Winter,4.2,1,0,73,57,53
2000-12-28,Thursday,0,0,Winter,6.1,1,1,53,63,76
2000-12-29,Friday,0,0,Winter,-0.0,0,0,76,75,76
2000-12-30,Saturday,1,0,Winter,2.8,0,0,76,87,80
2000-12-31,Sunday,1,1,Winter,7.7,0,0,80,88,93
2001-01-01,Monday,0,1,Winter,1.0,0,0,93,73,77
2001-01-02,Tuesday,0,0,Winter,0.8,0,0,77,73,70
2001-01-03,Wednesday,0,0,Winter,3.9,0,0,70,53,64
2001-01-04,Thursday,0,0,Winter,5.9,1,0,64,76,76
2001-01-05,Friday,0,0,Winter,3.4,0,1,76,76,87
2001-01-06,Saturday,1,0,Winter,7.4,0,0,87,80,81
2001-01-07,Sunday,1,0,Winter,6.1,0,0,81,93,90
2001-01-08,Monday,0,0,Winter,6.1,0,0,90,77,83
2001-01-09,Tuesday,0,0,Winter,5.3,0,0,83,70,62
2001-01-10,Wednesday,0,0,Winter,10.6,0,0,62,64,57
2001-01-11,Thursday,0,0,Winter,3.1,0,0,57,76,80
2001-01-12,Friday,0,0,Winter,-2.2,1,0,80,87,74
2001-01-13,Saturday,1,0,Winter,8.7,0,0,74,81,82
2001-01-14,Sunday,1,0,Winter,2.6,0,0,82,90,84
2001-01-15,Monday,0,0,Winter,4.3,0,0,84,83,72
2001-01-16,Tuesday,0,0,Winter,8.0,0,0,72,62,55
2001-01-17,Wednesday,0,0,Winter,-0.6,1,0,55,57,45
2001-01-18,Thursday,0,0,Winter,0.5,0,0,45,80,56
2001-01-19,Friday,0,0,Winter,-0.5,1,0,56,74,59
2001-01-20,Saturday,1,0,Winter,2.0,1,0,59,82,66
2001-01-21,Sunday,1,0,Winter,5.8,1,0,66,84,63
2001-01-22,Monday,0,0,Winter,6.2,0,0,63,72,61
2001-01-23,Tuesday,0,0,Winter,5.5,0,0,61,55,67
2001-01-24,Wednesday,0,0,Winter,0.6,0,0,67,45,54
2001-01-25,Thursday,0,0,Winter,-2.0,1,0,54,56,52
2001-01-26,Friday,0,0,Winter,5.2,0,0,52,59,73
2001-01-27,Saturday,1,0,Winter,3.7,1,0,73,66,69
2001-01-28,Sunday,1,0,Winter,6.6,0,0,69,63,94
2001-01-29,Monday,0,0,Winter,7.4,0,1,94,61,90
2001-01-30,Tuesday,0,0,Winter,5.8,0,0,90,67,77
2001-01-31,Wednesday,0,0,Winter,7.8,0,1,77,54,74
2001-02-01,Thursday,0,0,Winter,6.3,1,0,74,52,74
2001-02-02,Friday,0,0,Winter,7.4,1,0,74,73,69
2001-02-03,Saturday,1,0,Winter,3.8,0,0,69,69,73
2001-02-04,Sunday,1,0,Winter,5.5,0,0,73,94,94
2001-02-05,Monday,0,0,Winter,6.7,1,1,94,90,85
2001-02-06,Tuesday,0,0,Winter,8.7,0,0,85,77,75
2001-02-07,Wednesday,0,0,Winter,5.2,1,0,75,74,64
2001-02-08,Thursday,0,0,Winter,8.1,0,0,64,74,57
