date,day_of_week,season,temperature,rain,local_event,predicted_total_demand,dish1_sales_yesterday,dish2_sales_yesterday,dish3_sales_yesterday,dish1_probability,dish2_probability,dish3_probability
2020-02-17,Monday,Winter,17.9,0,0,98,5,19,16,0.475,0.27,0.255
2020-02-18,Tuesday,Winter,33.7,0,0,134,20,17,13,0.6,0.208,0.192
2020-02-19,Wednesday,Winter,5.3,0,0,94,24,17,9,0.477,0.283,0.24
2020-02-20,Thursday,Winter,24.6,0,0,120,26,20,7,0.583,0.236,0.181
2020-02-21,Friday,Winter,12.5,0,0,90,24,28,5,0.504,0.302,0.194
2020-02-22,Saturday,Winter,14.2,1,0,124,21,25,13,0.468,0.266,0.266
2020-02-23,Sunday,Winter,15.1,0,0,156,11,29,12,0.463,0.309,0.228
2020-02-24,Monday,Winter,21.3,0,0,102,20,30,5,0.535,0.287,0.178
2020-02-25,Tuesday,Winter,4.3,1,1,100,28,28,5,0.416,0.344,0.24
2020-02-26,Wednesday,Winter,12.8,0,1,136,25,28,5,0.482,0.337,0.182
2020-02-27,Thursday,Winter,19.7,1,1,118,17,29,5,0.471,0.313,0.216
2020-02-28,Friday,Winter,6.5,1,0,53,11,35,5,0.382,0.354,0.264
2020-02-29,Saturday,Winter,17.1,1,0,112,5,30,6,0.442,0.307,0.251
2020-03-01,Sunday,Spring,6.2,0,1,160,7,33,10,0.359,0.409,0.232
2020-03-02,Monday,Spring,15.6,1,0,71,8,36,7,0.428,0.324,0.248
2020-03-03,Tuesday,Spring,25.8,0,0,128,5,42,11,0.481,0.324,0.195
2020-03-04,Wednesday,Spring,20.2,1,1,125,5,38,22,0.396,0.333,0.271
2020-03-05,Thursday,Spring,20.2,1,0,128,5,39,18,0.421,0.308,0.271
2020-03-06,Friday,Spring,24.5,1,0,102,5,35,7,0.472,0.297,0.23
2020-03-07,Saturday,Spring,7.3,0,0,127,6,38,5,0.387,0.394,0.218
2020-03-08,Sunday,Spring,38.1,0,0,158,19,39,5,0.583,0.27,0.147
2020-03-09,Monday,Spring,10.3,0,0,105,20,36,5,0.461,0.343,0.195
2020-03-10,Tuesday,Spring,7.8,0,0,97,16,33,7,0.434,0.349,0.217
2020-03-11,Wednesday,Spring,15.5,0,0,96,14,36,5,0.474,0.335,0.191
2020-03-12,Thursday,Spring,-5.3,1,0,54,10,32,5,0.281,0.404,0.315
2020-03-13,Friday,Spring,7.1,0,1,118,7,26,7,0.386,0.389,0.226
2020-03-14,Saturday,Spring,20.0,0,0,158,10,18,5,0.532,0.266,0.202
2020-03-15,Sunday,Spring,10.3,0,0,128,5,19,5,0.451,0.315,0.235
2020-03-16,Monday,Spring,2.4,1,0,72,5,17,6,0.358,0.318,0.324
2020-03-17,Tuesday,Spring,36.2,0,0,144,5,18,9,0.587,0.225,0.188
2020-03-18,Wednesday,Spring,27.7,0,0,113,5,12,5,0.575,0.229,0.196
2020-03-19,Thursday,Spring,19.4,0,0,116,5,13,5,0.528,0.257,0.215
2020-03-20,Friday,Spring,-17.4,0,0,43,10,7,5,0.178,0.421,0.401
2020-03-21,Saturday,Spring,31.3,0,0,151,17,6,5,0.634,0.185,0.181
2020-03-22,Sunday,Spring,29.4,0,1,179,5,8,6,0.56,0.252,0.189
2020-03-23,Monday,Spring,5.2,0,0,91,7,8,5,0.448,0.286,0.266
2020-03-24,Tuesday,Spring,15.7,1,0,79,5,8,9,0.476,0.228,0.296
2020-03-25,Wednesday,Spring,30.9,0,0,113,5,12,7,0.585,0.219,0.196
2020-03-26,Thursday,Spring,13.5,1,1,115,5,15,6,0.425,0.31,0.265
2020-03-27,Friday,Spring,17.8,0,0,99,6,6,5,0.541,0.232,0.227
2020-03-28,Saturday,Spring,9.1,0,0,141,8,5,5,0.492,0.254,0.254
2020-03-29,Sunday,Spring,24.0,1,1,168,8,7,12,0.5,0.239,0.261
2020-03-30,Monday,Spring,6.7,1,1,94,10,13,11,0.388,0.311,0.301
2020-03-31,Tuesday,Spring,14.8,0,0,103,5,10,6,0.504,0.259,0.237
2020-04-01,Wednesday,Spring,20.5,1,0,87,5,8,7,0.51,0.218,0.272
2020-04-02,Thursday,Spring,23.3,0,1,152,5,9,8,0.521,0.27,0.209
2020-04-03,Friday,Spring,28.1,0,1,152,5,5,12,0.546,0.238,0.216
2020-04-04,Saturday,Spring,18.2,1,0,125,8,5,5,0.519,0.21,0.271
2020-04-05,Sunday,Spring,6.8,0,0,150,9,5,5,0.478,0.261,0.261
2020-04-06,Monday,Spring,26.6,1,0,106,8,12,5,0.546,0.216,0.238
2020-04-07,Tuesday,Spring,14.9,0,0,93,7,9,5,0.517,0.253,0.23
2020-04-08,Wednesday,Spring,24.8,0,0,115,6,12,5,0.563,0.236,0.201
2020-04-09,Thursday,Spring,19.1,0,0,102,5,9,5,0.537,0.242,0.221
2020-04-10,Friday,Spring,17.4,0,1,130,5,8,5,0.497,0.291,0.213
2020-04-11,Saturday,Spring,10.3,0,1,167,5,11,11,0.426,0.319,0.254
2020-04-12,Sunday,Spring,0.5,1,1,115,9,10,10,0.341,0.33,0.33
2020-04-13,Monday,Spring,7.8,1,0,68,15,9,14,0.442,0.235,0.323
2020-04-14,Tuesday,Spring,23.6,0,0,113,14,5,17,0.564,0.19,0.246
2020-04-15,Wednesday,Spring,14.8,0,0,99,18,5,11,0.544,0.212,0.243
2020-04-16,Thursday,Spring,18.2,1,0,78,25,5,9,0.554,0.187,0.259
2020-04-17,Friday,Spring,13.9,0,1,134,27,18,11,0.502,0.291,0.207
2020-04-18,Saturday,Spring,17.2,0,0,145,27,18,19,0.527,0.234,0.238
2020-04-19,Sunday,Spring,15.2,0,0,146,29,22,20,0.511,0.249,0.24
2020-04-20,Monday,Spring,36.5,0,1,156,31,20,20,0.582,0.229,0.189
2020-04-21,Tuesday,Spring,36.9,0,0,126,27,17,22,0.604,0.189,0.207
2020-04-22,Wednesday,Spring,-6.2,0,0,65,23,17,20,0.358,0.312,0.33
2020-04-23,Thursday,Spring,18.4,0,1,155,17,18,23,0.474,0.278,0.248
2020-04-24,Friday,Spring,6.0,1,1,103,10,21,17,0.357,0.331,0.312
2020-04-25,Saturday,Spring,1.8,1,1,150,16,23,10,0.357,0.354,0.289
2020-04-26,Sunday,Spring,26.8,1,0,135,20,19,5,0.558,0.225,0.217
2020-04-27,Monday,Spring,-2.1,1,1,100,23,25,7,0.355,0.368,0.277
2020-04-28,Tuesday,Spring,13.9,0,0,112,21,25,5,0.511,0.292,0.197
2020-04-29,Wednesday,Spring,15.1,1,1,112,20,27,5,0.458,0.317,0.224
2020-04-30,Thursday,Spring,10.5,0,0,101,22,19,5,0.509,0.281,0.21
2020-05-01,Friday,Spring,16.2,0,0,109,25,14,5,0.562,0.241,0.197
2020-05-02,Saturday,Spring,-0.3,0,0,132,23,11,6,0.457,0.287,0.256
2020-05-03,Sunday,Spring,30.5,0,1,196,23,6,5,0.61,0.221,0.168
2020-05-04,Monday,Spring,35.6,1,0,130,21,11,5,0.613,0.182,0.205
2020-05-05,Tuesday,Spring,21.5,1,0,105,19,19,8,0.524,0.236,0.24
2020-05-06,Wednesday,Spring,25.6,0,0,100,10,17,9,0.553,0.242,0.205
2020-05-07,Thursday,Spring,12.3,0,0,105,5,15,9,0.465,0.284,0.251
2020-05-08,Friday,Spring,31.3,1,1,122,5,8,16,0.518,0.225,0.257
2020-05-09,Saturday,Spring,-2.0,0,1,146,6,5,20,0.316,0.332,0.351
2020-05-10,Sunday,Spring,-5.7,0,0,111,5,9,19,0.287,0.321,0.392
2020-05-11,Monday,Spring,18.7,0,0,97,5,5,24,0.495,0.205,0.3
2020-05-12,Tuesday,Spring,14.4,0,0,110,10,5,30,0.469,0.203,0.327
2020-05-13,Wednesday,Spring,9.7,0,0,86,15,5,29,0.457,0.21,0.333
2020-05-14,Thursday,Spring,13.9,0,0,89,5,5,27,0.457,0.214,0.329
2020-05-15,Friday,Spring,34.6,0,0,131,6,5,27,0.571,0.169,0.26
2020-05-16,Saturday,Spring,8.0,1,1,144,5,6,35,0.348,0.257,0.395
2020-05-17,Sunday,Spring,13.9,1,0,117,7,6,31,0.426,0.199,0.375
2020-05-18,Monday,Spring,9.7,0,0,88,5,5,23,0.436,0.231,0.333
2020-05-19,Tuesday,Spring,-0.2,0,0,93,5,7,18,0.356,0.286,0.359
2020-05-20,Wednesday,Spring,20.8,0,0,114,10,5,17,0.539,0.201,0.26
2020-05-21,Thursday,Spring,13.7,0,0,90,14,5,20,0.502,0.211,0.288
2020-05-22,Friday,Spring,7.4,0,0,76,16,5,16,0.477,0.23,0.292
2020-05-23,Saturday,Spring,8.5,0,1,151,22,11,19,0.454,0.283,0.263
2020-05-24,Sunday,Spring,31.9,1,0,155,17,15,17,0.555,0.195,0.249
2020-05-25,Monday,Spring,15.8,0,0,94,10,11,15,0.5,0.24,0.26
2020-05-26,Tuesday,Spring,4.6,0,0,84,15,6,10,0.467,0.254,0.279
2020-05-27,Wednesday,Spring,24.3,0,1,165,12,5,13,0.542,0.238,0.22
2020-05-28,Thursday,Spring,1.0,0,0,86,14,5,11,0.433,0.264,0.303
2020-05-29,Friday,Spring,8.5,0,0,87,14,5,7,0.504,0.242,0.254
2020-05-30,Saturday,Spring,15.5,0,1,164,17,8,6,0.519,0.275,0.206
2020-05-31,Sunday,Spring,12.6,1,1,138,19,10,5,0.477,0.274,0.25
2020-06-01,Monday,Summer,9.2,0,0,100,13,8,5,0.502,0.258,0.24
2020-06-02,Tuesday,Summer,16.0,0,0,110,10,7,5,0.539,0.236,0.225
2020-06-03,Wednesday,Summer,8.4,0,0,97,5,7,5,0.469,0.272,0.259
2020-06-04,Thursday,Summer,-1.3,0,0,79,6,5,5,0.388,0.306,0.306
2020-06-05,Friday,Summer,21.4,0,0,95,5,10,5,0.548,0.239,0.213
2020-06-06,Saturday,Summer,8.5,0,0,132,10,14,5,0.469,0.292,0.239
2020-06-07,Sunday,Summer,25.1,0,0,151,7,11,5,0.57,0.23,0.2
2020-06-08,Monday,Summer,20.3,0,0,124,5,14,5,0.53,0.258,0.212
2020-06-09,Tuesday,Summer,20.8,1,1,118,9,9,5,0.497,0.261,0.242
2020-06-10,Wednesday,Summer,18.7,1,0,81,5,6,5,0.51,0.217,0.273
2020-06-11,Thursday,Summer,15.9,0,1,131,5,10,5,0.482,0.303,0.214
2020-06-12,Friday,Summer,18.4,0,0,102,5,12,11,0.508,0.248,0.243
2020-06-13,Saturday,Summer,18.9,0,0,143,7,8,11,0.528,0.228,0.244
2020-06-14,Sunday,Summer,23.7,0,1,181,5,5,10,0.528,0.253,0.219
2020-06-15,Monday,Summer,-5.4,0,0,61,5,5,18,0.302,0.301,0.397
2020-06-16,Tuesday,Summer,15.2,0,1,148,5,9,29,0.426,0.268,0.306
2020-06-17,Wednesday,Summer,23.3,1,0,71,5,9,33,0.466,0.191,0.343
2020-06-18,Thursday,Summer,0.2,0,0,91,5,7,44,0.307,0.242,0.451
2020-06-19,Friday,Summer,21.3,1,0,113,10,5,50,0.444,0.164,0.392
2020-06-20,Saturday,Summer,10.4,0,0,126,18,10,53,0.412,0.2,0.388
2020-06-21,Sunday,Summer,15.7,1,1,148,25,14,55,0.412,0.221,0.367
2020-06-22,Monday,Summer,25.4,0,1,142,25,8,48,0.498,0.201,0.301
2020-06-23,Tuesday,Summer,12.3,1,0,68,28,11,47,0.439,0.186,0.375
2020-06-24,Wednesday,Summer,22.6,1,0,83,23,5,45,0.492,0.155,0.352
2020-06-25,Thursday,Summer,19.1,0,0,126,26,16,44,0.486,0.202,0.311
2020-06-26,Friday,Summer,-2.8,0,1,120,27,21,43,0.332,0.311,0.356
2020-06-27,Saturday,Summer,17.8,0,0,134,28,25,48,0.462,0.226,0.312
2020-06-28,Sunday,Summer,16.1,0,1,181,28,22,49,0.437,0.254,0.309
2020-06-29,Monday,Summer,7.1,0,0,94,19,23,53,0.372,0.25,0.377
2020-06-30,Tuesday,Summer,30.9,1,1,130,27,27,40,0.487,0.236,0.277
2020-07-01,Wednesday,Summer,5.1,1,1,95,33,34,35,0.377,0.31,0.313
2020-07-02,Thursday,Summer,15.6,0,0,113,30,41,35,0.451,0.286,0.264
2020-07-03,Friday,Summer,13.4,1,0,75,27,37,48,0.4,0.259,0.341
2020-07-04,Saturday,Summer,4.9,0,1,140,30,35,55,0.355,0.308,0.337
2020-07-05,Sunday,Summer,2.1,1,0,90,29,41,57,0.326,0.285,0.389
2020-07-06,Monday,Summer,12.4,0,0,82,27,43,59,0.388,0.278,0.334
2020-07-07,Tuesday,Summer,-12.0,1,0,42,31,51,70,0.216,0.333,0.451
2020-07-08,Wednesday,Summer,33.5,0,0,141,33,41,74,0.473,0.217,0.31
2020-07-09,Thursday,Summer,12.3,0,1,116,31,32,77,0.373,0.26,0.367
2020-07-10,Friday,Summer,40.7,0,0,141,33,27,71,0.522,0.177,0.301
2020-07-11,Saturday,Summer,17.0,0,0,143,39,29,67,0.447,0.214,0.339
2020-07-12,Sunday,Summer,14.7,0,0,136,42,26,69,0.445,0.206,0.349
2020-07-13,Monday,Summer,12.5,0,0,113,43,13,69,0.457,0.173,0.37
2020-07-14,Tuesday,Summer,27.5,0,0,100,42,9,62,0.535,0.146,0.319
2020-07-15,Wednesday,Summer,0.9,0,0,73,40,7,65,0.405,0.178,0.417
2020-07-16,Thursday,Summer,24.4,0,0,128,39,7,66,0.514,0.144,0.342
2020-07-17,Friday,Summer,22.2,0,0,101,36,5,77,0.484,0.137,0.379
2020-07-18,Saturday,Summer,9.8,0,0,138,35,5,84,0.414,0.149,0.437
2020-07-19,Sunday,Summer,12.6,1,1,144,44,12,82,0.408,0.187,0.405
2020-07-20,Monday,Summer,11.4,0,0,108,45,14,93,0.42,0.162,0.418
2020-07-21,Tuesday,Summer,20.9,0,0,107,47,16,87,0.469,0.158,0.373
2020-07-22,Wednesday,Summer,18.3,0,1,124,40,22,88,0.419,0.21,0.371
2020-07-23,Thursday,Summer,9.8,0,0,104,42,27,92,0.39,0.201,0.409
2020-07-24,Friday,Summer,-0.6,0,0,86,45,30,92,0.341,0.224,0.435
2020-07-25,Saturday,Summer,-5.8,0,1,158,46,34,87,0.303,0.279,0.418
2020-07-26,Sunday,Summer,9.6,1,0,117,40,34,87,0.367,0.216,0.417
2020-07-27,Monday,Summer,16.1,0,0,105,43,32,83,0.425,0.209,0.366
2020-07-28,Tuesday,Summer,18.1,0,0,89,46,38,84,0.43,0.217,0.352
2020-07-29,Wednesday,Summer,16.7,1,0,83,38,39,74,0.404,0.227,0.369
2020-07-30,Thursday,Summer,9.6,0,1,116,37,28,71,0.387,0.255,0.359
2020-07-31,Friday,Summer,17.0,0,0,95,39,26,76,0.438,0.2,0.362
2020-08-01,Saturday,Summer,25.3,0,0,161,40,20,80,0.477,0.17,0.353
2020-08-02,Sunday,Summer,17.6,0,0,155,43,26,83,0.439,0.192,0.369
2020-08-03,Monday,Summer,-3.4,0,0,62,45,21,87,0.343,0.208,0.449
2020-08-04,Tuesday,Summer,20.2,0,0,102,44,25,98,0.434,0.177,0.389
2020-08-05,Wednesday,Summer,8.9,0,0,78,50,26,98,0.398,0.191,0.412
2020-08-06,Thursday,Summer,5.2,0,0,97,47,14,98,0.388,0.166,0.445
2020-08-07,Friday,Summer,19.9,1,0,90,44,15,95,0.434,0.149,0.417
2020-08-08,Saturday,Summer,9.2,0,0,134,45,21,95,0.398,0.183,0.42
2020-08-09,Sunday,Summer,26.5,0,0,151,39,16,98,0.46,0.151,0.389
2020-08-10,Monday,Summer,14.7,0,0,118,42,11,97,0.426,0.15,0.424
2020-08-11,Tuesday,Summer,22.1,1,0,87,46,19,97,0.439,0.154,0.407
2020-08-12,Wednesday,Summer,21.2,0,0,95,45,17,97,0.451,0.156,0.392
2020-08-13,Thursday,Summer,14.3,0,0,107,51,17,99,0.433,0.16,0.407
2020-08-14,Friday,Summer,18.8,1,0,94,43,24,105,0.405,0.168,0.428
2020-08-15,Saturday,Summer,23.3,0,0,159,41,23,110,0.428,0.165,0.408
2020-08-16,Sunday,Summer,19.3,0,0,150,55,14,107,0.454,0.142,0.405
2020-08-17,Monday,Summer,4.2,1,1,106,53,19,108,0.353,0.194,0.453
2020-08-18,Tuesday,Summer,14.6,1,1,117,50,11,113,0.394,0.163,0.443
2020-08-19,Wednesday,Summer,24.4,0,0,110,48,5,109,0.469,0.117,0.414
2020-08-20,Thursday,Summer,10.7,0,0,91,45,5,103,0.415,0.133,0.452
2020-08-21,Friday,Summer,27.6,0,0,112,39,16,104,0.456,0.147,0.397
2020-08-22,Saturday,Summer,29.5,0,0,165,36,17,104,0.456,0.149,0.394
2020-08-23,Sunday,Summer,17.7,0,0,154,31,7,101,0.415,0.14,0.445
2020-08-24,Monday,Summer,15.8,1,0,93,30,6,91,0.402,0.139,0.459
2020-08-25,Tuesday,Summer,9.8,0,0,108,42,18,93,0.4,0.177,0.423
2020-08-26,Wednesday,Summer,10.5,0,0,109,42,15,95,0.404,0.167,0.429
2020-08-27,Thursday,Summer,10.8,0,0,93,41,21,99,0.391,0.181,0.428
2020-08-28,Friday,Summer,5.0,0,0,79,36,17,103,0.35,0.18,0.471
2020-08-29,Saturday,Summer,14.7,0,0,143,39,11,100,0.415,0.15,0.434
2020-08-30,Sunday,Summer,24.8,1,0,134,38,10,99,0.442,0.133,0.425
2020-08-31,Monday,Summer,3.8,1,0,68,42,10,99,0.358,0.153,0.489
2020-09-01,Tuesday,Autumn,16.7,0,0,108,38,10,98,0.426,0.147,0.427
2020-09-02,Wednesday,Autumn,8.6,0,0,86,35,5,104,0.379,0.141,0.48
2020-09-03,Thursday,Autumn,8.6,0,1,133,43,6,111,0.374,0.168,0.458
2020-09-04,Friday,Autumn,29.2,0,0,117,44,5,112,0.475,0.114,0.411
2020-09-05,Saturday,Autumn,9.5,0,0,140,42,7,119,0.38,0.135,0.486
2020-09-06,Sunday,Autumn,30.5,0,1,212,39,8,123,0.439,0.146,0.415
2020-09-07,Monday,Autumn,8.9,1,1,99,45,12,117,0.354,0.172,0.474
2020-09-08,Tuesday,Autumn,17.9,0,0,109,39,15,115,0.405,0.15,0.444
2020-09-09,Wednesday,Autumn,13.2,0,0,91,34,20,113,0.37,0.172,0.458
2020-09-10,Thursday,Autumn,14.7,0,0,119,42,17,109,0.403,0.16,0.437
2020-09-11,Friday,Autumn,9.8,1,0,76,41,20,110,0.361,0.167,0.472
2020-09-12,Saturday,Autumn,40.3,1,0,154,50,20,109,0.49,0.134,0.376
2020-09-13,Sunday,Autumn,21.8,0,1,200,57,22,106,0.443,0.184,0.373
2020-09-14,Monday,Autumn,20.9,1,1,132,58,23,104,0.429,0.182,0.389
2020-09-15,Tuesday,Autumn,23.2,0,0,119,58,16,102,0.477,0.143,0.38
2020-09-16,Wednesday,Autumn,28.8,0,1,159,60,13,97,0.494,0.159,0.347
2020-09-17,Thursday,Autumn,13.3,0,0,100,59,10,90,0.467,0.143,0.39
2020-09-18,Friday,Autumn,18.7,1,0,84,52,12,90,0.455,0.141,0.404
2020-09-19,Saturday,Autumn,16.9,0,0,145,53,10,82,0.481,0.145,0.373
2020-09-20,Sunday,Autumn,21.5,1,0,153,48,8,84,0.472,0.132,0.396
2020-09-21,Monday,Autumn,17.5,1,0,101,39,5,91,0.432,0.129,0.439
2020-09-22,Tuesday,Autumn,21.1,0,1,142,41,5,89,0.454,0.163,0.384
2020-09-23,Wednesday,Autumn,10.5,0,0,96,38,6,86,0.42,0.149,0.431
2020-09-24,Thursday,Autumn,16.3,0,0,96,32,8,95,0.418,0.146,0.436
2020-09-25,Friday,Autumn,9.4,1,0,77,34,8,93,0.376,0.148,0.476
2020-09-26,Saturday,Autumn,30.7,0,0,164,30,5,94,0.48,0.125,0.396
2020-09-27,Sunday,Autumn,0.5,0,0,98,35,11,94,0.34,0.175,0.485
2020-09-28,Monday,Autumn,4.8,0,0,94,35,11,96,0.362,0.168,0.471
2020-09-29,Tuesday,Autumn,2.2,1,0,71,35,11,91,0.339,0.167,0.494
2020-09-30,Wednesday,Autumn,21.5,0,0,111,30,7,92,0.442,0.14,0.417
2020-10-01,Thursday,Autumn,-0.3,1,0,53,28,19,93,0.292,0.199,0.509
2020-10-02,Friday,Autumn,12.6,0,0,101,35,26,95,0.384,0.198,0.418
2020-10-03,Saturday,Autumn,2.5,1,0,117,34,21,91,0.326,0.196,0.478
2020-10-04,Sunday,Autumn,18.4,1,1,161,38,22,87,0.402,0.204,0.394
2020-10-05,Monday,Autumn,21.4,0,0,125,36,23,87,0.439,0.182,0.379
2020-10-06,Tuesday,Autumn,17.0,1,0,92,34,22,74,0.419,0.187,0.394
2020-10-07,Wednesday,Autumn,8.2,0,0,110,34,16,75,0.4,0.192,0.409
2020-10-08,Thursday,Autumn,16.3,0,0,97,34,19,78,0.431,0.185,0.384
2020-10-09,Friday,Autumn,10.5,0,0,76,42,9,77,0.439,0.16,0.401
2020-10-10,Saturday,Autumn,10.5,0,0,110,31,11,76,0.41,0.174,0.416
2020-10-11,Sunday,Autumn,22.9,1,0,138,28,12,70,0.451,0.159,0.39
2020-10-12,Monday,Autumn,5.3,0,1,116,37,10,70,0.391,0.216,0.394
2020-10-13,Tuesday,Autumn,15.0,0,0,90,36,14,63,0.461,0.181,0.358
2020-10-14,Wednesday,Autumn,12.8,0,0,99,40,11,60,0.47,0.174,0.356
2020-10-15,Thursday,Autumn,12.5,0,0,91,44,9,63,0.476,0.164,0.36
2020-10-16,Friday,Autumn,5.0,0,0,84,47,7,64,0.449,0.166,0.386
2020-10-17,Saturday,Autumn,9.3,0,0,138,44,6,66,0.461,0.157,0.382
2020-10-18,Sunday,Autumn,29.0,0,1,202,39,8,67,0.508,0.173,0.318
2020-10-19,Monday,Autumn,15.6,1,1,106,31,5,63,0.428,0.185,0.387
2020-10-20,Tuesday,Autumn,24.0,0,1,151,28,5,67,0.472,0.18,0.349
2020-10-21,Wednesday,Autumn,28.2,0,0,123,33,5,61,0.529,0.14,0.331
2020-10-22,Thursday,Autumn,32.4,0,0,129,32,11,71,0.516,0.148,0.336
2020-10-23,Friday,Autumn,8.5,1,0,67,28,5,63,0.402,0.161,0.437
2020-10-24,Saturday,Autumn,20.2,0,0,144,19,7,63,0.457,0.165,0.379
2020-10-25,Sunday,Autumn,32.3,0,1,202,20,12,71,0.472,0.19,0.338
2020-10-26,Monday,Autumn,15.4,0,0,104,24,15,63,0.431,0.193,0.375
2020-10-27,Tuesday,Autumn,12.4,1,0,61,21,21,60,0.384,0.213,0.403
2020-10-28,Wednesday,Autumn,10.2,0,0,110,26,21,63,0.399,0.22,0.381
2020-10-29,Thursday,Autumn,17.2,0,0,115,21,24,59,0.425,0.223,0.353
2020-10-30,Friday,Autumn,25.8,1,0,97,22,23,64,0.444,0.192,0.364
2020-10-31,Saturday,Autumn,21.5,1,0,116,26,14,59,0.454,0.174,0.372
2020-11-01,Sunday,Autumn,29.8,1,0,157,22,17,56,0.482,0.175,0.343
2020-11-02,Monday,Autumn,19.9,0,0,111,16,10,59,0.449,0.18,0.371
2020-11-03,Tuesday,Autumn,14.7,0,1,143,5,15,52,0.372,0.262,0.366
2020-11-04,Wednesday,Autumn,22.7,0,0,85,5,9,47,0.459,0.19,0.351
2020-11-05,Thursday,Autumn,11.4,1,0,65,5,8,39,0.383,0.207,0.41
2020-11-06,Friday,Autumn,2.1,1,0,74,5,8,41,0.307,0.229,0.463
2020-11-07,Saturday,Autumn,14.5,0,0,145,5,5,30,0.454,0.209,0.337
